unit,word_id,word,current_cefr,current_issue,proposed_definition,candidate_source,source_reference,cambridge_review_url,oxford_review_url,automated_flags,review_status,approved,review_notes
3d-printer-lab,print-head,Print Head,B2,placeholder definition,,,,https://dictionary.cambridge.org/dictionary/english/print-head,https://www.oxfordlearnersdictionaries.com/definition/english/print-head,missing-draft,needs-manual-definition,,
3d-printer-lab,build-plate,Build Plate,B2,placeholder definition,,,,https://dictionary.cambridge.org/dictionary/english/build-plate,https://www.oxfordlearnersdictionaries.com/definition/english/build-plate,missing-draft,needs-manual-definition,,
3d-printer-lab,filament-spool,Filament Spool,B2,placeholder definition,,,,https://dictionary.cambridge.org/dictionary/english/filament-spool,https://www.oxfordlearnersdictionaries.com/definition/english/filament-spool,missing-draft,needs-manual-definition,,
3d-printer-lab,extruder,Extruder,B1,placeholder definition,,,,https://dictionary.cambridge.org/dictionary/english/extruder,https://www.oxfordlearnersdictionaries.com/definition/english/extruder,missing-draft,needs-manual-definition,,
3d-printer-lab,nozzle,Nozzle,B1,placeholder definition,A projecting spout from which a fluid is discharged.,Open English WordNet 2024,https://en-word.net/view/synset/oewn-03839104-n,https://dictionary.cambridge.org/dictionary/english/nozzle,https://www.oxfordlearnersdictionaries.com/definition/english/nozzle,word-count-9-target-10-24,review-wording-and-level,,
3d-printer-lab,stepper-motor,Stepper Motor,B2,placeholder definition,,,,https://dictionary.cambridge.org/dictionary/english/stepper-motor,https://www.oxfordlearnersdictionaries.com/definition/english/stepper-motor,missing-draft,needs-manual-definition,,
3d-printer-lab,belt,Belt,B1,placeholder definition,Endless loop of flexible material between two rotating shafts or pulleys.,Open English WordNet 2024,https://en-word.net/view/synset/oewn-02831067-n,https://dictionary.cambridge.org/dictionary/english/belt,https://www.oxfordlearnersdictionaries.com/definition/english/belt,,review-wording-and-level,,
3d-printer-lab,guide-rail,Guide Rail,B2,placeholder definition,,,,https://dictionary.cambridge.org/dictionary/english/guide-rail,https://www.oxfordlearnersdictionaries.com/definition/english/guide-rail,missing-draft,needs-manual-definition,,
3d-printer-lab,cooling-fan,Cooling Fan,B2,placeholder definition,,,,https://dictionary.cambridge.org/dictionary/english/cooling-fan,https://www.oxfordlearnersdictionaries.com/definition/english/cooling-fan,missing-draft,needs-manual-definition,,
3d-printer-lab,lcd-screen,LCD Screen,B2,placeholder definition,,,,https://dictionary.cambridge.org/dictionary/english/lcd-screen,https://www.oxfordlearnersdictionaries.com/definition/english/lcd-screen,missing-draft,needs-manual-definition,,
